timestamp,lat,lon
2026-09-03T00:28:57Z,1.38651,103.67607
2026-09-03T00:29:00Z,1.38557,103.6757
2026-09-03T00:29:02Z,1.38489,103.67555
2026-09-03T00:29:04Z,1.38432,103.67541
2026-09-03T00:29:07Z,1.38368,103.67519
2026-09-03T00:29:21Z,1.37953,103.67388
2026-09-03T00:29:23Z,1.3789,103.67368
2026-09-03T00:29:25Z,1.37808,103.67336
2026-09-03T00:29:28Z,1.37739,103.67313
2026-09-03T00:29:32Z,1.37609,103.67271
2026-09-03T00:29:35Z,1.37556,103.67261
2026-09-03T00:30:19Z,1.36269,103.66863
2026-09-03T00:31:14Z,1.3472,103.66113
2026-09-03T00:33:21Z,1.34959,103.67332
2026-09-03T00:33:41Z,1.34766,103.66778
2026-09-03T00:33:46Z,1.34726,103.6665
2026-09-03T00:33:48Z,1.34669,103.66561
2026-09-03T00:33:51Z,1.34622,103.66547
2026-09-03T00:33:54Z,1.34594,103.66423
2026-09-03T00:33:57Z,1.34605,103.66318
2026-09-03T00:33:59Z,1.34651,103.66277
2026-09-03T00:34:02Z,1.34718,103.66212
2026-09-03T00:34:10Z,1.34845,103.65978
2026-09-03T00:34:13Z,1.34903,103.65899
2026-09-03T00:34:46Z,1.35995,103.65865
2026-09-03T00:35:27Z,1.36199,103.67159
2026-09-03T00:35:37Z,1.35928,103.67389
2026-09-03T00:35:40Z,1.35879,103.67413
2026-09-03T00:35:42Z,1.35814,103.67446
2026-09-03T00:35:44Z,1.35754,103.67461
2026-09-03T00:35:47Z,1.35668,103.6748
2026-09-03T00:35:49Z,1.35602,103.67493
2026-09-03T00:35:51Z,1.35543,103.67499
2026-09-03T00:35:53Z,1.35459,103.67506
2026-09-03T00:35:55Z,1.35406,103.67503
2026-09-03T00:35:57Z,1.35332,103.6749
2026-09-03T00:36:00Z,1.35261,103.6748
2026-09-03T00:36:02Z,1.35181,103.67455
2026-09-03T00:36:04Z,1.35119,103.67429
2026-09-03T00:36:07Z,1.35041,103.6739
2026-09-03T00:36:10Z,1.34993,103.67358
2026-09-03T00:36:12Z,1.34937,103.67322
2026-09-03T00:36:14Z,1.34893,103.67278
2026-09-03T00:36:17Z,1.34813,103.6721
2026-09-03T00:36:19Z,1.34756,103.67139
2026-09-03T00:36:21Z,1.34714,103.67085
2026-09-03T00:36:24Z,1.34675,103.67013
2026-09-03T00:36:26Z,1.34659,103.66953
2026-09-03T00:36:28Z,1.34637,103.66888
2026-09-03T00:36:30Z,1.34631,103.6681
2026-09-03T00:36:33Z,1.34596,103.66718
2026-09-03T00:36:35Z,1.3459,103.66684
2026-09-03T00:36:38Z,1.34601,103.6654
2026-09-03T00:36:41Z,1.34612,103.66475
2026-09-03T00:36:43Z,1.34612,103.66373
2026-09-03T00:36:46Z,1.34629,103.66272
2026-09-03T00:36:48Z,1.34656,103.66191
2026-09-03T00:36:50Z,1.34712,103.66119
2026-09-03T00:36:53Z,1.34776,103.66035
2026-09-03T00:36:56Z,1.3484,103.65962
2026-09-03T00:36:58Z,1.34903,103.65915
2026-09-03T00:37:00Z,1.34972,103.65874
2026-09-03T00:37:03Z,1.35067,103.65809
2026-09-03T00:37:05Z,1.35145,103.65771
2026-09-03T00:37:07Z,1.35208,103.65742
2026-09-03T00:37:10Z,1.35313,103.65704
2026-09-03T00:37:12Z,1.35394,103.657
2026-09-03T00:37:15Z,1.35473,103.65694
2026-09-03T00:37:17Z,1.35568,103.65691
2026-09-03T00:37:19Z,1.35667,103.6571
2026-09-03T00:37:22Z,1.35763,103.65739
2026-09-03T00:37:24Z,1.35829,103.65765
2026-09-03T00:37:27Z,1.35963,103.65832
2026-09-03T00:37:30Z,1.36049,103.6588
2026-09-03T00:37:32Z,1.36095,103.65945
2026-09-03T00:37:35Z,1.36203,103.66044
2026-09-03T00:37:38Z,1.36249,103.66103
2026-09-03T00:37:43Z,1.36329,103.66258
2026-09-03T00:37:45Z,1.36356,103.6633
2026-09-03T00:37:47Z,1.36362,103.66396
2026-09-03T00:37:50Z,1.36381,103.66488
2026-09-03T00:37:52Z,1.36381,103.66558
2026-09-03T00:37:55Z,1.36384,103.66633
2026-09-03T00:37:57Z,1.36397,103.66713
2026-09-03T00:37:59Z,1.36401,103.66801
2026-09-03T00:38:01Z,1.36387,103.6686
2026-09-03T00:38:04Z,1.36379,103.66924
2026-09-03T00:38:06Z,1.3634,103.67012
2026-09-03T00:38:08Z,1.36294,103.67062
2026-09-03T00:38:10Z,1.36243,103.67109
2026-09-03T00:38:13Z,1.36199,103.67162
2026-09-03T00:38:15Z,1.36153,103.67222
2026-09-03T00:38:18Z,1.36093,103.67279
2026-09-03T00:38:20Z,1.36047,103.6732
2026-09-03T00:38:23Z,1.36004,103.67364
2026-09-03T00:38:25Z,1.35969,103.67385
2026-09-03T00:38:27Z,1.35871,103.67429
2026-09-03T00:38:30Z,1.35799,103.67468
2026-09-03T00:38:32Z,1.35742,103.67487
2026-09-03T00:38:35Z,1.35671,103.67503
2026-09-03T00:38:37Z,1.35591,103.67503
2026-09-03T00:38:40Z,1.35488,103.67503
2026-09-03T00:38:42Z,1.35417,103.67499
2026-09-03T00:38:45Z,1.35332,103.67496
2026-09-03T00:38:47Z,1.35286,103.67487
2026-09-03T00:38:50Z,1.35211,103.6747
2026-09-03T00:38:52Z,1.35149,103.67441
2026-09-03T00:38:54Z,1.35082,103.67416
2026-09-03T00:38:56Z,1.35015,103.67379
2026-09-03T00:38:59Z,1.34955,103.67337
2026-09-03T00:39:01Z,1.34878,103.67279
2026-09-03T00:39:04Z,1.34817,103.67223
2026-09-03T00:39:06Z,1.34757,103.67159
2026-09-03T00:39:09Z,1.34716,103.67094
2026-09-03T00:39:11Z,1.34673,103.67012
2026-09-03T00:39:13Z,1.3464,103.66941
2026-09-03T00:39:16Z,1.34604,103.66854
2026-09-03T00:39:18Z,1.34581,103.66765
2026-09-03T00:39:20Z,1.34574,103.66682
2026-09-03T00:39:23Z,1.34571,103.66579
2026-09-03T00:39:25Z,1.34593,103.6648
2026-09-03T00:39:28Z,1.34589,103.66395
2026-09-03T00:39:30Z,1.34594,103.66335
2026-09-03T00:39:33Z,1.34635,103.66185
2026-09-03T00:39:36Z,1.34707,103.66096
2026-09-03T00:39:38Z,1.34773,103.66025
2026-09-03T00:39:42Z,1.3488,103.6591
2026-09-03T00:39:45Z,1.34987,103.6582
2026-09-03T00:39:47Z,1.35072,103.65781
2026-09-03T00:39:49Z,1.35145,103.65742
2026-09-03T00:39:51Z,1.35237,103.65721
2026-09-03T00:39:54Z,1.35329,103.65699
2026-09-03T00:39:57Z,1.35438,103.65688
2026-09-03T00:39:59Z,1.35505,103.65691
2026-09-03T00:40:01Z,1.3562,103.65703
2026-09-03T00:40:03Z,1.35694,103.65718
2026-09-03T00:40:06Z,1.35772,103.65742
2026-09-03T00:40:08Z,1.35864,103.65779
2026-09-03T00:40:10Z,1.35938,103.65824
2026-09-03T00:40:12Z,1.36011,103.65868
2026-09-03T00:40:15Z,1.36095,103.65937
2026-09-03T00:40:18Z,1.36169,103.66
2026-09-03T00:40:20Z,1.36212,103.66052
2026-09-03T00:40:22Z,1.36238,103.66104
2026-09-03T00:40:24Z,1.3627,103.66165
2026-09-03T00:40:27Z,1.36311,103.6625
2026-09-03T00:40:29Z,1.36344,103.66323
2026-09-03T00:40:32Z,1.36369,103.66398
